# Time-averaged data for fix scalarOut
# TimeStep v_Dtwopoint v_DmolTwopoint v_DxMolTwopoint v_DyMolTwopoint v_DzMolTwopoint v_Dfitslope v_DmolFitslope v_DxMolFitslope v_DyMolFitslope v_DzMolFitslope v_Dvacf v_Dxvacf v_Dyvacf v_Dzvacf
290 0.000157666 7.75586e-06 8.65196e-07 1.78169e-05 4.58548e-06 0.000162713 6.0269e-05 0.000110167 6.44863e-05 6.15396e-06 -0.000145836 -0.00091866 0.000706058 -0.000224906
300 0.000160749 5.90013e-06 1.06209e-08 1.45081e-05 3.18171e-06 0.000162486 5.67687e-05 0.000102992 6.13131e-05 6.00058e-06 -0.000231898 -0.00122651 0.000689261 -0.00015844
310 0.000163622 5.06158e-06 1.29672e-06 1.18331e-05 2.05491e-06 0.000162558 5.35202e-05 9.65178e-05 5.82627e-05 5.77999e-06 -0.000381685 -0.00127854 0.000630555 -0.000497067
320 0.000156109 4.99844e-06 4.49929e-06 9.00456e-06 1.49148e-06 0.000162166 5.05455e-05 9.07842e-05 5.53218e-05 5.53047e-06 -0.000381003 -0.00112257 0.000652346 -0.00067278
330 0.00016291 5.27705e-06 8.11718e-06 6.34993e-06 1.36403e-06 0.000162131 4.78466e-05 8.57765e-05 5.24803e-05 5.2831e-06 -0.000506479 -0.00143651 0.000708367 -0.000791298
340 0.000162262 5.32273e-06 1.01008e-05 3.72989e-06 2.13752e-06 0.000162058 4.53909e-05 8.13636e-05 4.97334e-05 5.07584e-06 -0.000425833 -0.000954636 0.000790442 -0.0011133
350 0.000178516 5.36961e-06 1.01802e-05 1.72657e-06 4.20204e-06 0.000162397 4.31424e-05 7.73732e-05 4.7085e-05 4.96911e-06 -0.000322479 -0.000952331 0.00084848 -0.000863585
360 0.000188478 5.55938e-06 9.21734e-06 7.75966e-07 6.68483e-06 0.000163522 4.10854e-05 7.36753e-05 4.4577e-05 5.00383e-06 -0.000476069 -0.00116167 0.00088719 -0.00115373
370 0.00021535 5.67621e-06 8.60584e-06 2.73876e-07 8.14892e-06 0.000165775 3.92e-05 7.02266e-05 4.22337e-05 5.13982e-06 -0.000444744 -0.00139046 0.000964798 -0.000908571
380 0.000221863 6.10891e-06 8.61462e-06 8.2622e-08 9.62948e-06 0.000168551 3.74741e-05 6.70343e-05 4.00553e-05 5.33283e-06 -0.000418855 -0.00136418 0.00107204 -0.000964423
390 0.000227125 6.75848e-06 8.24132e-06 3.60667e-08 1.19981e-05 0.00017136 3.59092e-05 6.40776e-05 3.80368e-05 5.61326e-06 -0.00053673 -0.0013215 0.000978935 -0.00126763
400 0.000236576 7.42013e-06 7.37322e-06 1.57272e-08 1.48714e-05 0.00017438 3.44907e-05 6.13055e-05 3.61659e-05 6.00071e-06 -0.000544292 -0.0014889 0.00103474 -0.00117871
410 0.000227847 8.22216e-06 6.01406e-06 3.19755e-10 1.86521e-05 0.000177141 3.32108e-05 5.86798e-05 3.44287e-05 6.52399e-06 -0.000449874 -0.00123767 0.00121 -0.00132195
420 0.000230842 8.96182e-06 4.48237e-06 1.0145e-07 2.23016e-05 0.000179512 3.20568e-05 5.61672e-05 3.28153e-05 7.18781e-06 -0.000446237 -0.00154826 0.00120685 -0.0009973
430 0.000216718 9.37842e-06 3.30331e-06 5.43605e-07 2.42883e-05 0.000181489 3.10102e-05 5.37658e-05 3.1325e-05 7.93983e-06 -0.000518225 -0.00189897 0.00116236 -0.000818064
440 0.000222396 9.03321e-06 2.60999e-06 1.60607e-06 2.28836e-05 0.000183225 3.00336e-05 5.14851e-05 2.99685e-05 8.64726e-06 -0.000295008 -0.00184517 0.00127728 -0.000317132
450 0.000204248 9.01929e-06 2.01436e-06 3.97907e-06 2.10645e-05 0.000184531 2.91075e-05 4.93274e-05 2.8776e-05 9.21913e-06 -0.000355535 -0.00163982 0.00115144 -0.000578223
460 0.000205384 1.06867e-05 1.60036e-06 8.66258e-06 2.17971e-05 0.000185409 2.82772e-05 4.72865e-05 2.78118e-05 9.73332e-06 -0.000350704 -0.00174106 0.00109139 -0.00040244
470 0.000194392 1.41769e-05 1.63982e-06 1.66319e-05 2.42589e-05 0.0001861 2.76139e-05 4.53664e-05 2.71803e-05 1.02949e-05 -0.000350213 -0.00178092 0.0011249 -0.000394627
480 0.000188561 1.84712e-05 2.30285e-06 2.77515e-05 2.53592e-05 0.000186194 2.7157e-05 4.35799e-05 2.6988e-05 1.09032e-05 -0.000382596 -0.00189183 0.00108772 -0.000343688
490 0.000180516 2.24529e-05 3.38083e-06 4.05775e-05 2.34004e-05 0.000185979 2.68951e-05 4.19394e-05 2.72979e-05 1.14479e-05 -0.00036921 -0.00190891 0.000995972 -0.000194695
500 0.000174265 2.56697e-05 4.50358e-06 5.25046e-05 2.00009e-05 0.000185662 2.67927e-05 4.04398e-05 2.80889e-05 1.18493e-05 -0.000315161 -0.0016023 0.000835905 -0.000179082
510 0.000195515 2.72827e-05 5.42341e-06 6.04023e-05 1.60225e-05 0.000185602 2.67861e-05 3.90668e-05 2.9213e-05 1.20783e-05 -0.000242392 -0.00153691 0.000735367 7.43636e-05
520 0.000205306 2.79982e-05 6.38162e-06 6.48783e-05 1.27348e-05 0.000186164 2.68204e-05 3.78072e-05 3.04972e-05 1.21569e-05 -0.000139993 -0.00146711 0.000946964 0.000100169
530 0.000235636 2.84656e-05 7.64641e-06 6.70751e-05 1.06754e-05 0.000187589 2.68706e-05 3.66586e-05 3.18231e-05 1.213e-05 -0.000163702 -0.00169323 0.000885324 0.000316799
540 0.000242033 2.90289e-05 8.78793e-06 6.85909e-05 9.70787e-06 0.000189503 2.69398e-05 3.56197e-05 3.31431e-05 1.20565e-05 -0.000166178 -0.00140558 0.000909251 -2.20148e-06
550 0.000272643 2.94339e-05 9.97644e-06 6.93825e-05 8.94294e-06 0.000191794 2.70218e-05 3.46768e-05 3.44326e-05 1.19559e-05 -0.000166752 -0.00123955 0.000556491 0.000182806
560 0.000273335 2.95654e-05 1.1315e-05 6.89155e-05 8.4658e-06 0.000194815 2.71097e-05 3.38297e-05 3.56597e-05 1.18397e-05 -0.000302818 -0.00105702 0.000327275 -0.000178712
570 0.000297563 2.91996e-05 1.24807e-05 6.6924e-05 8.19422e-06 0.000197991 2.71868e-05 3.30697e-05 3.67747e-05 1.1716e-05 -0.000372205 -0.0013446 0.000263599 -3.56176e-05
