# Time-averaged data for fix thermoAveOut
# TimeStep c_thermo_pe c_thermo_temp c_thermo_press
17400 -6526.33 294.975 10.6038
17500 -6500.41 306.805 -5.94506
17600 -6516.36 297.278 -38.2486
17700 -6528.2 291.413 -36.6953
17800 -6516.99 301.328 136.925
17900 -6517.35 297.725 -97.0967
18000 -6499.18 292.967 71.6933
18100 -6474.11 306.058 -82.0137
18200 -6484.52 297.851 70.17
18300 -6503.35 293.66 -34.6274
18400 -6492.41 296.822 -1.584
18500 -6472.57 303.406 -4.69182
18600 -6482.97 298.648 31.8636
18700 -6511.43 296.525 -169.742
18800 -6524.22 296.121 223.12
18900 -6521.79 298.214 -40.9496
19000 -6506.53 296.08 27.2783
19100 -6492.09 299.728 -69.8653
19200 -6507.83 299.689 47.5231
19300 -6514.18 294.565 31.8276
19400 -6507.19 304.179 -143.817
19500 -6524.48 293.977 94.7409
19600 -6550.28 296.93 40.6383
19700 -6532.41 291.238 -56.3763
19800 -6505.08 307.561 53.2457
19900 -6513.91 299.968 21.9348
20000 -6523.74 288.324 -30.0481
20100 -6496.85 303.512 -46.7138
20200 -6496.68 304.957 81.1287
20300 -6526.15 287.798 51.0997
20400 -6513.15 295.951 -72.3882
20500 -6489.55 307.585 -2.20658
20600 -6504.23 294.027 125.325
20700 -6488.75 291.637 -26.2469
20800 -6464.49 308.112 -60.7538
20900 -6492.81 297.143 -27.2668
21000 -6513.67 291.226 91.0338
21100 -6491.48 299.744 -58.8408
21200 -6475.16 302.954 -4.65738
21300 -6495.28 295.39 36.9829
21400 -6494.04 294.096 -4.72002
21500 -6470.4 303.829 -61.5938
21600 -6480.61 298.091 82.7172
21700 -6506.34 297.595 -21.1931
21800 -6504.63 292.546 24.0212
21900 -6496.85 303.524 -41.354
22000 -6504.45 299.753 32.4339
22100 -6518.52 291.335 17.3246
22200 -6498.65 298.304 -28.2695
22300 -6472.96 304.808 -32.5446
22400 -6495.17 296.63 38.3707
22500 -6517.05 291.744 133.814
22600 -6491.11 300.742 -165.103
22700 -6476.25 300.421 58.4918
22800 -6469.83 296.948 36.009
22900 -6461.07 299.966 -84.2576
23000 -6469.46 298.466 20.3534
23100 -6470.46 291.755 33.2935
23200 -6461.37 303.799 16.0577
23300 -6472.02 293.901 -33.333
23400 -6484.05 301.475 -24.5024
23500 -6487.37 295.209 77.7125
23600 -6495.26 300.063 -44.3171
23700 -6484.59 293.693 10.4045
23800 -6464.25 300.737 48.0846
23900 -6463.21 301.106 -52.3195
24000 -6498.16 300.426 4.88177
24100 -6517.94 287.03 21.226
24200 -6487.68 302.715 -16.9198
24300 -6476.51 304.272 15.4299
24400 -6501.41 288.695 -44.6801
24500 -6477.66 299.772 27.7724
24600 -6453.32 302.895 71.2957
24700 -6479.5 294.783 -106.976
24800 -6495.99 300.431 66.5649
24900 -6510.7 296.83 -32.0912
25000 -6493.15 287.84 5.85257
25100 -6461.16 312.847 87.6688
25200 -6474.92 296.971 -42.087
25300 -6507.07 294.12 4.23371
25400 -6520.91 299.423 -29.2712
25500 -6510.97 292.795 75.1547
25600 -6494.38 304.167 -96.3486
25700 -6507.88 297.678 36.1565
25800 -6508.31 289.606 9.85146
25900 -6490.25 308.554 -1.67401
26000 -6515.2 300.116 70.8629
26100 -6539.49 280.714 -118.217
26200 -6485.37 305.807 83.0327
26300 -6462.12 309.148 -21.0048
26400 -6506.71 285.656 -21.1153
26500 -6499.31 299.172 44.7565
26600 -6468.72 305.487 -57.7231
26700 -6480.73 295.117 146.445
26800 -6494.48 293.27 -139.688
26900 -6494.91 302.256 -13.6637
27000 -6493.89 295.495 44.0899
27100 -6492.29 301.458 -11.4243
27200 -6489 295.722 -12.3283
27300 -6498.69 294.694 65.2544
27400 -6486.28 298.313 17.4218
27500 -6468.1 304.174 -60.4706
27600 -6493.42 297.441 42.1855
27700 -6505.4 291.781 -23.2899
27800 -6491.24 304.413 -31.2215
27900 -6482.85 298.108 102.226
28000 -6501.79 294.025 -103.071
28100 -6506.81 297.755 100.249
28200 -6490.52 298.547 -44.234
28300 -6473.87 300.592 84.7404
28400 -6494.16 302.558 -32.9707
28500 -6535.72 288.962 -74.6109
28600 -6534.8 298.837 64.2564
28700 -6495.07 298.879 -20.5917
28800 -6498.69 305.364 -76.7374
28900 -6534.13 290.126 95.941
29000 -6537.14 297.267 -13.2379
29100 -6506.67 300.762 -20.0539
29200 -6496.47 296.842 9.93752
29300 -6503.05 302.765 74.2021
29400 -6509.85 291.402 -11.586
29500 -6512.98 302.631 -50.542
29600 -6526.29 298.122 54.7567
29700 -6522.9 290.341 17.2297
29800 -6493.62 305.732 -70.6715
29900 -6500.53 297.951 2.79689
30000 -6523.49 292.019 55.0052
30100 -6498.02 297.906 -53.9985
30200 -6475.7 305.408 30.2195
30300 -6500.52 298.708 65.0634
30400 -6501.33 285.912 -78.4618
30500 -6480.45 310.078 -46.3159
30600 -6501.03 295.423 122.151
30700 -6519.12 292.489 -10.6071
30800 -6491.53 303.05 -96.6133
30900 -6501.5 302.464 47.7708
31000 -6535.45 287.945 53.3298
31100 -6497.72 295.712 7.76195
31200 -6463.18 312.846 -40.8373
31300 -6501.59 292.951 -33.501
31400 -6523.72 288.917 73.3366
31500 -6491.61 302.699 -30.2244
31600 -6490.29 305.723 -29.3318
31700 -6504.66 290.042 100.882
31800 -6503.21 300.637 -68.0435
31900 -6510.38 296.654 -22.5579
32000 -6504.74 291.257 65.7624
32100 -6476.2 307.556 -55.3086
32200 -6486.41 298.385 12.2145
32300 -6488.54 288.756 61.3264
32400 -6469.35 305.434 -41.3588
32500 -6493.14 300.663 22.3575
32600 -6518.05 291.426 -106.223
32700 -6506.11 300.992 179.552
32800 -6474.03 293.672 -6.1222
32900 -6465.56 304.529 -98.5528
33000 -6490.63 299.616 88.1797
33100 -6529.38 290.861 49.4806
33200 -6500.36 292.118 -133.897
33300 -6444.18 313.068 101.069
33400 -6454.95 295.994 18.3793
33500 -6497 293.105 -33.4932
33600 -6502.86 297.755 4.846
33700 -6481.68 296.331 -90.2481
33800 -6472.45 302.706 90.9327
33900 -6482.05 296.308 19.7689
34000 -6493.75 297.841 -27.8345
34100 -6512.72 300.578 -23.3006
34200 -6512.27 287.784 17.6709
34300 -6484.91 304.123 7.86222
34400 -6478.23 306.236 -29.3529
34500 -6508.05 288.476 -26.3113
34600 -6506.08 297.274 23.652
34700 -6472.17 302.05 118.42
34800 -6487 302.735 -130.528
34900 -6515.02 286.034 80.0836
35000 -6486.92 301.668 20.0384
35100 -6470.94 308.714 -24.0464
35200 -6499.76 285.963 -98.0023
35300 -6493.9 304.249 107.397
35400 -6500.15 305.022 43.9023
35500 -6538.67 283.279 -47.1936
35600 -6530.49 302.773 60.2162
35700 -6509.52 303.791 -100.494
35800 -6531.3 291.142 95.6279
35900 -6541.13 300.766 -87.4413
36000 -6522.76 296.789 17.4082
36100 -6517 301.208 86.308
36200 -6528.71 296.056 -5.50234
36300 -6544.05 294.69 -67.3995
36400 -6519.53 294.717 -35.1772
36500 -6493.77 309.082 142.185
36600 -6520.77 295.19 -104.186
36700 -6534.89 288.793 65.2011
36800 -6506.82 303.522 -30.0118
36900 -6496.52 300.939 12.7915
37000 -6501.76 293.072 -12.67
37100 -6488.5 301.099 -73.3973
37200 -6505.32 303.572 121.365
37300 -6538.99 290.46 8.19802
37400 -6547.45 298.5 -84.6966
37500 -6519.35 298.292 -2.77953
37600 -6511.41 300.484 66.368
37700 -6510.35 295.169 -72.4958
37800 -6504.82 300.891 12.3172
37900 -6503.64 295.763 8.54975
38000 -6512.23 299.98 92.9097
38100 -6513.07 294.562 -83.2671
38200 -6492.81 300.827 8.18757
38300 -6507.65 302.644 84.2855
38400 -6529.65 288.506 -52.7662
38500 -6499.23 299.353 47.1974
38600 -6462.93 305.175 -68.8301
38700 -6502.27 297.51 55.7327
38800 -6517.59 285.469 3.99157
38900 -6485.17 310.131 -75.4338
39000 -6490.64 299.911 7.94099
39100 -6526 287.941 118.974
39200 -6508.21 302.853 -149.015
39300 -6495.79 301.848 52.1113
39400 -6510.94 292.783 38.8619
39500 -6499.4 296.973 -28.345
39600 -6478.93 304.147 -26.5564
39700 -6497.11 296.539 97.1304
39800 -6518.72 292.006 46.4044
39900 -6495.02 300.209 -95.0687
40000 -6467.01 299.772 79.8906
40100 -6469.97 296.08 -114.559
40200 -6484.04 302.088 72.3958
40300 -6509.77 295.641 -43.2143
40400 -6512.93 293.072 21.6053
40500 -6483.51 304.871 -58.1065
40600 -6471.58 297.471 97.1047
40700 -6483.46 297.08 -42.3481
40800 -6498.69 298.736 19.1033
40900 -6498.96 293.969 84.3937
41000 -6497 300.332 -144.214
41100 -6487.74 299.708 -3.87409
41200 -6507.44 299.861 -8.75542
41300 -6529.93 290.766 139.361
41400 -6494.71 299.519 -100.522
41500 -6470.16 304.071 76.1283
41600 -6491.65 294.704 -68.2792
41700 -6493.42 292.561 104.114
41800 -6485.43 309.03 -48.9847
41900 -6509.54 291.721 46.3406
42000 -6514.59 294.255 -23.2663
42100 -6485.51 306.084 -15.6579
42200 -6494.69 292.999 -10.329
42300 -6508.31 298.356 43.9847
42400 -6501.51 299.687 -27.7044
42500 -6503.42 298.435 60.9707
42600 -6513.23 297.732 -130.498
42700 -6506.6 294.661 95.0715
42800 -6500.98 301.371 4.9601
42900 -6487.09 295.582 -57.8653
43000 -6470.88 299.573 48.9431
43100 -6479.85 300.075 9.44458
43200 -6508.66 297.688 41.9237
43300 -6520.16 292.745 -24.6569
43400 -6508.71 301.353 24.4897
43500 -6495.4 295.543 -83.0492
43600 -6491.94 301.693 56.299
43700 -6514.72 300.197 -50.3434
43800 -6522.94 286.354 79.678
43900 -6489.97 309.53 -53.2331
44000 -6486.99 299.803 114.564
44100 -6524.57 291.166 -106.991
44200 -6505.51 294.487 -19.0121
44300 -6473.9 307.764 57.6273
44400 -6488.19 297.737 -64.7201
44500 -6521.48 292.71 134.239
44600 -6509.39 295.523 -166.859
44700 -6490.78 303.952 74.7202
44800 -6503.93 295.243 43.1118
44900 -6500.23 293.842 2.68192
45000 -6495.12 306.522 -76.8582
45100 -6509.19 290.368 70.3963
45200 -6510.23 302.389 -46.9106
45300 -6497.99 297.808 84.1433
45400 -6506.01 297.085 -10.7673
45500 -6505.87 299.137 -37.9364
45600 -6497.18 294.852 4.09417
45700 -6496.48 303.394 4.23804
45800 -6506.93 292.587 41.1338
45900 -6507.74 299.519 -29.6197
46000 -6505 298.036 -33.8822
46100 -6506 298.109 62.1142
46200 -6501.68 297.937 -43.0418
46300 -6499.94 297.056 94.8309
46400 -6493.71 300.308 -82.965
46500 -6498.23 302.126 34.1474
46600 -6525.3 292.394 -32.0269
46700 -6522.85 291.881 73.0955
46800 -6487.72 302.893 -53.5316
46900 -6476.49 303.08 33.034
47000 -6502.09 299.065 -70.7291
47100 -6515.64 287.66 18.9508
47200 -6487.01 299.543 -30.223
47300 -6455.4 304.035 129.086
47400 -6480.56 302.132 -87.6201
47500 -6519.48 289.824 53.6262
47600 -6507.34 296.554 -40.7409
47700 -6491.72 308.002 3.84964
47800 -6517.91 293.916 23.7632
47900 -6523.9 291.495 47.5701
48000 -6499.89 303.352 -80.3202
48100 -6512.06 299.035 8.66983
48200 -6513.96 293.709 27.8186
48300 -6487.23 297.985 76.9665
48400 -6475.11 302.255 -90.9286
48500 -6470.49 294.626 96.6619
48600 -6487.56 304.107 -166.979
48700 -6494.35 288.288 123.839
48800 -6469.76 302.585 -48.154
48900 -6485.67 306.611 20.787
49000 -6519.74 283.04 11.6501
49100 -6492.76 303.677 -103.848
49200 -6479.73 307.25 76.7071
49300 -6510.76 284.533 61.7314
49400 -6504.37 300.847 -98.2737
49500 -6483.51 303.398 33.7882
49600 -6485.71 291.478 65.6668
49700 -6484.81 303.335 -9.49651
49800 -6497.89 294.215 -84.9258
49900 -6488.27 295.502 -7.1506
50000 -6476.85 307.855 77.1403
50100 -6496.86 290.739 31.8178
50200 -6481.01 297.267 2.35237
50300 -6463.04 305.49 -52.3716
50400 -6489.29 296.174 46.5678
50500 -6511.1 291.746 20.3278
50600 -6490.11 301.623 -27.671
50700 -6483.76 303.691 -69.9754
50800 -6507.52 290.352 148.681
50900 -6522.17 298.386 -80.2233
51000 -6515.23 299.815 34.8677
51100 -6508.44 296.881 -62.4488
51200 -6501.61 296.304 65.4774
51300 -6504.71 303.571 -22.5122
51400 -6503.18 292.397 -31.9703
51500 -6479.09 294.904 26.4647
51600 -6452.8 307.515 23.5448
51700 -6484.43 296.721 -67.782
51800 -6515.19 291.225 54.3786
51900 -6496.03 301.93 -12.1007
52000 -6499.23 297.927 -1.23194
52100 -6493.39 297.132 36.8886
52200 -6483.59 299.481 -64.3716
52300 -6511.74 301.458 22.1556
52400 -6529.68 289.483 -2.00809
52500 -6508.35 303.889 67.9281
52600 -6495.96 297.707 -19.773
52700 -6511.14 297.078 4.80192
52800 -6507.52 294.569 14.8409
52900 -6492.76 306.332 -67.6056
53000 -6510.72 294.926 83.0304
53100 -6508.84 288.411 -88.4409
53200 -6459.08 307.43 131.656
53300 -6470.53 305.216 -97.1653
53400 -6516.6 284.722 48.4356
53500 -6512.42 301.885 -6.61411
53600 -6485.8 296.991 -54.1109
53700 -6496.61 303.407 84.6749
53800 -6515 294.062 -21.8482
