# Time-averaged data for fix thermoAveOut
# TimeStep c_thermo_pe c_thermo_temp c_thermo_press
16900 -6489.15 334.86 -7993.08
17000 -6498.02 340.555 -8324.13
17100 -6500.95 342.413 -5100.88
17200 -6510.1 348.262 -5545.51
17300 -6511.19 348.987 -6071.8
17400 -6515.45 351.722 -4626.95
17500 -6506.36 345.904 -5667.28
17600 -6499.09 341.226 -6085.67
17700 -6496.14 339.341 -5915.1
17800 -6495.56 338.974 -4528.99
17900 -6501.44 342.716 -3136.24
18000 -6491.82 336.557 -3195.91
18100 -6499.77 341.645 -3633.77
18200 -6488.42 334.405 -4519.09
18300 -6494.91 338.567 -4203.69
18400 -6497.23 340.05 -4530.07
18500 -6497.85 340.402 -3806.06
18600 -6503.2 343.804 -2470.04
18700 -6501.68 342.835 -3936.86
18800 -6490.1 335.426 -5321.14
18900 -6489.18 334.865 -3447.6
19000 -6487.8 333.959 -2332.17
19100 -6489.66 335.148 -3301.52
19200 -6494.66 338.373 -3973.04
19300 -6493.25 337.47 -4891.98
19400 -6493.09 337.354 -4405.5
19500 -6503.01 343.698 -5430.66
19600 -6490.76 335.878 -2464.24
19700 -6487.35 333.677 -599.54
19800 -6494.8 338.419 -2674.25
19900 -6488.67 334.499 -2897.33
20000 -6493.84 337.841 -1798.77
20100 -6499.27 341.284 -809.652
20200 -6494.27 338.096 15.418
20300 -6497.84 340.4 -527.801
20400 -6497.11 339.965 -374.616
20500 -6499.96 341.745 432.432
20600 -6501.72 342.894 -2429.01
20700 -6496.43 339.521 -3442.5
20800 -6488.69 334.569 -2070.46
20900 -6492.85 337.223 -484.477
21000 -6500.29 341.991 -1022.18
21100 -6491.5 336.373 -1562.45
21200 -6490.75 335.917 -2253.21
21300 -6496.44 339.54 -3105.99
21400 -6494.99 338.603 -147.972
21500 -6488.5 334.434 872.512
21600 -6497.28 340.053 -1783.44
21700 -6489.65 335.187 -2087.34
21800 -6491.23 336.18 435.952
21900 -6494.76 338.433 83.1452
22000 -6485.66 332.641 -1504.7
22100 -6492 336.695 -1448.96
22200 -6492.02 336.701 -1218.34
22300 -6495.94 339.228 -566.24
22400 -6504.24 344.532 -275.088
22500 -6494.14 338.07 -777.684
22600 -6492.05 336.742 141.292
22700 -6492.38 336.956 -508.627
22800 -6481.86 330.229 -2143.67
22900 -6480.56 329.392 -1925.75
23000 -6496.18 339.375 -591.465
23100 -6486.12 332.953 -509.955
23200 -6485.51 332.561 -2220.13
23300 -6486.91 333.443 -4933.77
23400 -6488.49 334.43 -4235.12
23500 -6488.52 334.47 -3196.51
23600 -6495.66 339.019 -4473.29
23700 -6494.12 338.036 -5552.52
23800 -6495.17 338.689 -4201.31
23900 -6501.35 342.653 -3282.22
24000 -6496.83 339.762 -4207.79
24100 -6488.34 334.362 -4625.18
24200 -6496.92 339.822 -2486.42
24300 -6490.42 335.699 -3297.2
24400 -6489.12 334.863 -5839.02
24500 -6487.04 333.531 -2628.2
24600 -6488.39 334.369 -2502.42
24700 -6509.38 347.813 -4011.47
24800 -6499.46 341.46 -2752.33
24900 -6492.78 337.198 -2612.72
25000 -6498.42 340.792 -4458.16
25100 -6495.65 338.998 -5141.75
25200 -6505.43 345.307 -4065.97
25300 -6501.83 342.985 -2700.8
25400 -6509.16 347.681 -4553.66
25500 -6504.44 344.663 -1646.92
25600 -6508.34 347.13 383.309
25700 -6493.67 337.771 -2274.46
25800 -6502.21 343.217 -3565.03
25900 -6495.09 338.663 -1980.77
26000 -6490.06 335.447 -3985.14
26100 -6487.4 333.746 -5797.04
26200 -6496.89 339.85 -2297.58
26300 -6507.27 346.472 -1397.61
26400 -6499.09 341.231 -2751.83
26500 -6496.79 339.782 -2940.88
26600 -6487.44 333.755 -3008.41
26700 -6500.94 342.411 -4717.88
26800 -6502.68 343.511 -2891.37
26900 -6499.19 341.315 -1258.5
27000 -6500.51 342.154 -2896.64
27100 -6491.53 336.385 -3785.37
27200 -6500.79 342.305 -2526.13
27300 -6496.57 339.611 -1343.25
27400 -6503.99 344.343 -2382.22
27500 -6502.74 343.534 -3660.14
27600 -6497.21 340.016 -3943.45
27700 -6501.75 342.926 -2283.91
27800 -6494.4 338.212 -3850.16
27900 -6491 336.036 -3890.08
28000 -6497.47 340.165 -2955.36
28100 -6500.31 341.996 -3518.22
28200 -6497.49 340.156 -3041.32
28300 -6488.58 334.477 -3691.02
28400 -6485.45 332.456 -4551.85
28500 -6502.37 343.313 -4637.56
28600 -6502.8 343.616 -3868.23
28700 -6497.69 340.324 -3129.81
28800 -6493.24 337.47 -4046.65
28900 -6491.93 336.624 -5794.91
29000 -6492.22 336.815 -5597.29
29100 -6490.16 335.482 -1364.88
29200 -6487.7 333.943 -2667.13
29300 -6484.94 332.171 -5230.92
29400 -6496.13 339.337 -2794.4
29500 -6501.84 342.97 -539.565
29600 -6508.85 347.459 -1433.5
29700 -6499.57 341.541 -3465.26
29800 -6494.38 338.207 -967.55
29900 -6503.03 343.754 -1243.73
30000 -6498.63 340.927 -2372.84
30100 -6494.37 338.207 -1533.18
30200 -6499.16 341.259 -1541.15
