# Time-averaged data for fix thermoAveOut
# TimeStep c_thermo_pe c_thermo_temp c_thermo_press
100 -2686.19 298.591 -4.78001
200 -2694.04 300.754 -18.9145
300 -2717.74 297.753 7.0072
400 -2739.12 295.55 -27.7351
500 -2749.93 304.277 229.515
600 -2761.39 288.002 -235.375
700 -2760.45 299.37 161.683
800 -2758.41 307.859 -24.6595
900 -2761.56 282.721 13.4774
1000 -2750.01 306.691 -30.9985
1100 -2748.79 302.76 42.7239
1200 -2759.82 283.193 -101.003
1300 -2751.72 304.049 159.258
1400 -2738.16 301.308 -6.34302
1500 -2752.33 299.622 -77.866
1600 -2759.39 291.307 46.3981
1700 -2752.74 304.934 -78.3197
1800 -2757.29 295.257 66.599
1900 -2754.27 293.806 204.329
2000 -2741.53 305.608 -234.001
2100 -2753.31 300.331 4.46781
2200 -2768.64 285.603 87.3831
2300 -2757.46 302.161 -85.8461
2400 -2743.78 307.552 83.9821
2500 -2753.47 285.817 -152.428
2600 -2750.44 297.645 181.552
2700 -2747.27 308.643 -108.341
2800 -2757.81 298.096 18.0684
2900 -2753.55 284.1 99.2299
3000 -2738.4 306.756 -13.8596
3100 -2746.08 307.673 -154.532
3200 -2758.12 272.682 184.967
3300 -2739.48 317.222 -86.9489
3400 -2751.41 309.272 -110.62
3500 -2779.38 271.459 227.037
3600 -2764.29 304.878 -122.817
3700 -2750.42 310.772 84.2866
3800 -2770.83 289.187 -60.2686
3900 -2776.05 291.569 35.2821
4000 -2763.16 309.807 -62.7737
4100 -2768.83 300.841 225.52
4200 -2779.43 283.558 -181.953
4300 -2772 299.272 41.4977
4400 -2755.61 311.341 -29.0667
4500 -2773.06 293.731 50.5913
4600 -2784.41 288.758 18.4577
4700 -2773.71 309.902 -47.9922
4800 -2776.51 293.153 125.478
4900 -2779.04 290.82 -87.7341
5000 -2765.21 306.756 -18.8383
5100 -2781.16 298.401 63.4824
5200 -2792.28 287.419 -30.8465
5300 -2780.48 303.033 -102.057
5400 -2767.5 304.567 177.406
5500 -2779.12 292.604 21.2638
5600 -2776.49 294.797 -34.5338
5700 -2760.86 304.144 110.165
5800 -2766.38 296.033 -38.8737
5900 -2771.84 295.904 -109.237
6000 -2760.55 295.424 117.892
6100 -2759.01 308.695 -100.196
6200 -2767.26 297.029 94.6884
6300 -2772.97 284.474 -145.437
6400 -2758.09 306.238 144.793
6500 -2762.77 303.766 -100.331
6600 -2787.8 291.303 -73.817
6700 -2782.99 290.696 82.4207
6800 -2762.28 311.907 69.7491
6900 -2766.23 297.29 -35.9597
7000 -2782.62 293.728 -19.4788
7100 -2783.54 294.854 26.0696
7200 -2770.27 299.528 25.0003
7300 -2768.01 305.198 107.112
7400 -2777.08 289.561 -141.244
7500 -2774.43 293.659 19.3025
7600 -2766.62 313.259 52.9875
7700 -2777.68 290.548 -73.4951
7800 -2777.05 287.353 -6.14281
7900 -2753.03 308.729 76.6426
8000 -2760.75 305.231 1.75606
