# Time-averaged data for fix thermoAveOut
# TimeStep c_thermo_pe c_thermo_temp c_thermo_press
16700 -6495.46 338.889 -3954.93
16800 -6491.84 336.573 -5129.51
16900 -6500.28 341.972 -5058.25
17000 -6501.02 342.461 -4312.08
17100 -6493.1 337.388 -4887.76
17200 -6503 343.748 -4448.54
17300 -6490.07 335.473 -2233.92
17400 -6494.51 338.333 -5403.56
17500 -6491.01 336.09 -7017.25
17600 -6494.3 338.167 -4952.68
17700 -6487.95 334.11 -3849.99
17800 -6491.7 336.497 -3800.2
17900 -6494.71 338.395 -3252.16
18000 -6491.58 336.441 -4163.13
18100 -6494.14 338.062 -4187.57
18200 -6487.35 333.714 -3398.55
18300 -6483.29 331.138 -2870.03
18400 -6493.44 337.613 -2696.3
18500 -6490.29 335.597 -2651.25
18600 -6491.1 336.131 -3827.48
18700 -6484.52 331.915 -4930.93
18800 -6487.89 334.051 -4274.61
18900 -6488.43 334.417 -5638.88
19000 -6489.04 334.809 -5207.07
19100 -6492.96 337.332 -3643.57
19200 -6491.04 336.102 -4262.56
19300 -6487.08 333.559 -5523.35
19400 -6497.92 340.475 -4432.92
19500 -6493.48 337.621 -4230.8
19600 -6491.06 336.115 -6201.18
19700 -6481.13 329.757 -5893.73
19800 -6480.88 329.604 -5726.66
19900 -6499.6 341.578 -3966.78
20000 -6494.67 338.41 -1876.45
20100 -6501.09 342.527 -2925.79
20200 -6498.27 340.692 -3599.4
20300 -6485.66 332.599 -4087.8
20400 -6486.84 333.384 -3680.14
20500 -6493.98 337.962 -2883.38
20600 -6498.35 340.742 -5247.36
20700 -6503.25 343.892 -5809.28
20800 -6492.6 337.086 -3336.93
20900 -6483.08 330.998 -2739.22
21000 -6504.61 344.766 -4980.13
21100 -6487.14 333.608 -6220.28
21200 -6500.72 342.316 -4429.33
21300 -6488.98 334.792 -4030.56
21400 -6483.16 331.103 -4809.82
21500 -6488.7 334.641 -5186.17
21600 -6489.19 334.943 -5195.18
21700 -6482.14 330.457 -4784.01
21800 -6484.71 332.07 -3391.41
21900 -6492.73 337.203 -2392.42
22000 -6497.13 340.011 -3103.65
22100 -6490.72 335.914 -3674.67
22200 -6489.75 335.272 -4638.27
22300 -6491.02 336.074 -4423.67
22400 -6497.23 340.075 -3801.36
22500 -6494.62 338.375 -2274.59
22600 -6489.98 335.425 -3913.63
22700 -6496.18 339.397 -4198.8
22800 -6497.77 340.418 -1906.49
22900 -6498.57 340.92 -3721.72
23000 -6493.43 337.631 -3274.51
23100 -6506.23 345.788 -1769.9
23200 -6501.69 342.9 -2936.06
23300 -6493.66 337.755 -3749.85
23400 -6493.58 337.718 -3304.53
23500 -6496.82 339.773 -3943.37
23600 -6494.57 338.339 -4198.11
23700 -6491.31 336.244 -3666.85
23800 -6488.23 334.261 -4344.7
23900 -6498.2 340.639 -4887.62
24000 -6506.45 345.948 -3253.06
24100 -6496.5 339.592 -2472.16
24200 -6497.06 339.955 -4076.06
24300 -6488.71 334.619 -3913.27
24400 -6497.84 340.463 -3037.24
24500 -6498.44 340.818 -3371.99
24600 -6496.72 339.709 -3911.42
24700 -6496.12 339.332 -3806.41
24800 -6491.18 336.168 -4804.09
24900 -6495.75 339.095 -4687.62
25000 -6507.77 346.782 -3639.36
25100 -6482.82 330.817 -2374.79
25200 -6502.2 343.21 -2505.53
25300 -6498.78 341.022 -584.813
25400 -6495.04 338.639 -427.821
25500 -6487.37 333.7 -2778.44
25600 -6491.09 336.065 -4915.55
25700 -6497.81 340.423 -4682.06
25800 -6492.32 336.924 -2880.29
25900 -6488.86 334.686 -2949.12
26000 -6501.32 342.663 -3693.18
26100 -6501.9 343.02 -5038.67
26200 -6483.94 331.531 -4710.68
26300 -6492.13 336.803 -4045.58
26400 -6502.17 343.254 -2568.57
26500 -6490.25 335.617 -2875.2
26600 -6499.16 341.329 -2599.72
26700 -6501.27 342.65 -2206.37
26800 -6494.35 338.241 -3014.42
26900 -6485.39 332.52 -1291.43
27000 -6492.08 336.819 -2679.29
27100 -6486.22 333.057 -3106.09
27200 -6493.48 337.696 -4085.59
27300 -6495.72 339.112 -2232.03
27400 -6498.46 340.851 -1025.82
27500 -6499.79 341.72 -3646.26
27600 -6484.42 331.922 -6026.74
27700 -6488.88 334.775 -4481.53
27800 -6483.72 331.438 -3688.22
27900 -6485.81 332.781 -4622.39
28000 -6492.42 337.011 -3503.19
28100 -6496.37 339.53 -1762.99
28200 -6482.09 330.404 -3400.13
28300 -6478.78 328.297 -6083.19
28400 -6486.8 333.415 -3416.3
28500 -6507.09 346.366 -3574.35
28600 -6502.01 343.127 -6060.71
28700 -6485.25 332.384 -6182.53
28800 -6490.05 335.456 -4722.61
28900 -6478.28 327.929 -3733.43
29000 -6494.37 338.24 -3557
29100 -6494.11 338.029 -2443.14
29200 -6498.25 340.691 -1701.54
29300 -6496.33 339.512 -3511.49
29400 -6488.09 334.22 -4596.4
29500 -6498.38 340.786 -3899.18
29600 -6497.78 340.415 -2354.58
29700 -6488.55 334.512 -2297.64
29800 -6487.39 333.733 -4252.79
29900 -6495.9 339.206 -3225.8
30000 -6501.95 343.107 -745.642
30100 -6493.54 337.707 -3373.27
30200 -6492.42 336.963 -5403.69
30300 -6497.09 339.972 -4482.17
30400 -6488.99 334.782 -4128.07
30500 -6488.63 334.562 -4536.03
30600 -6490.36 335.668 -4863.12
30700 -6497.6 340.292 -2756.28
30800 -6502.66 343.531 -194.638
30900 -6503.12 343.82 -430.585
31000 -6504.39 344.624 -2744.46
31100 -6500.37 342.058 -2237.66
31200 -6488.84 334.695 -1949.36
31300 -6492 336.728 -2213.9
31400 -6505.33 345.248 -1335.86
31500 -6498.15 340.654 473.047
31600 -6500.46 342.118 -437.289
31700 -6505.48 345.336 -2105.07
31800 -6499.69 341.642 -1355.86
