# Time-averaged data for fix thermoAveOut
# TimeStep c_thermo_pe c_thermo_temp c_thermo_press
100 -6435.29 297.286 12.6116
200 -6431.11 300.122 -86.4141
300 -6435.34 293.91 145.212
400 -6442.53 305.029 -79.5684
500 -6467.04 292.112 40.6852
600 -6453.12 293.596 -7.65701
700 -6431.51 309.919 -119.809
800 -6448.72 288.853 102.257
900 -6436.4 296.699 4.23408
1000 -6401.36 308.258 -64.4991
1100 -6450.45 300.293 92.551
1200 -6488.03 283.742 -16.984
1300 -6445.77 301.31 -40.8418
1400 -6403.58 304.579 48.4698
1500 -6436.4 297.479 43.7674
1600 -6471.54 292.596 -63.3172
1700 -6447.21 296.638 39.0031
1800 -6415.5 307.798 41.1616
1900 -6452.91 296.201 -65.4012
2000 -6464.72 284.115 80.9805
2100 -6415.46 304.912 -8.02754
2200 -6410.42 311.736 -64.3538
2300 -6457.81 282.589 93.9705
2400 -6451.85 298.766 -57.2127
2500 -6422.8 306.613 -70.5076
2600 -6455.96 292.149 94.4331
2700 -6462.91 292.539 -1.591
2800 -6423.7 306.456 -33.1803
2900 -6445.73 302.598 87.5957
3000 -6483.15 283.337 -71.7022
3100 -6460.75 304.534 90.0671
3200 -6441.42 302.859 -111.93
3300 -6468.56 292.476 54.6919
3400 -6460.28 295.977 -61.3078
3500 -6437.09 306.504 18.3096
3600 -6451.61 294.063 74.757
3700 -6453.75 291.843 27.0419
3800 -6419.86 301.679 -48.7327
3900 -6429.78 306.639 3.37977
4000 -6463.05 290.924 24.5767
4100 -6446.33 295.739 -32.4329
4200 -6434.85 305.39 27.8975
4300 -6459.68 291.192 -0.534242
4400 -6454.36 294.099 -15.0613
4500 -6439.27 308.351 -63.5689
4600 -6467.79 294.862 67.8658
4700 -6482.95 294.907 6.35676
4800 -6464.3 298.097 64.954
4900 -6458.56 300.28 -74.7654
5000 -6459.59 298.227 54.3967
5100 -6472.59 297.447 -12.7831
5200 -6479.22 294.769 -99.381
5300 -6464.48 303.028 192.301
5400 -6461.95 299.435 -104.936
5500 -6479.08 293.441 10.4182
5600 -6473.69 296.094 -38.6963
5700 -6464.84 306.376 46.5891
5800 -6482.06 293.375 -75.5457
5900 -6481.92 293.642 144.146
6000 -6461.39 302.118 -86.0061
6100 -6470.11 302.713 -27.906
6200 -6481.4 288.259 41.615
6300 -6462.04 302.085 24.1437
6400 -6457.17 301.827 -73.5695
6500 -6482.53 294.355 69.7296
6600 -6472.93 294.286 29.1929
6700 -6459.62 304.523 -111.162
6800 -6463.54 291.863 89.0274
6900 -6446.6 300.797 -27.7662
7000 -6459.8 305.374 34.3474
7100 -6481.78 284.91 -34.0241
7200 -6454.89 304.818 -5.66075
7300 -6445.62 300.868 27.688
7400 -6450.33 289.511 -49.9305
7500 -6414.75 305.164 48.2289
7600 -6420.02 302.768 -29.8776
7700 -6462.07 289.517 169.894
7800 -6453.59 295.493 -111.659
7900 -6426 304.006 -27.5139
8000 -6441.22 299.553 27.1182
8100 -6470.25 293.01 65.2679
8200 -6454.15 296.178 -29.4695
8300 -6428.1 303.662 -74.2723
8400 -6450.21 299.69 38.9242
8500 -6465.4 284.874 8.24632
8600 -6429.87 307.934 16.2538
8700 -6424.41 303.322 -69.4805
8800 -6472.2 292.283 92.5175
8900 -6471.62 296.144 -25.9547
9000 -6454.84 300.346 -26.6204
9100 -6459.76 295.546 22.1392
9200 -6454.57 301.986 -28.359
9300 -6459.14 298.264 78.5889
9400 -6464.28 292.187 -53.914
9500 -6469.71 308.005 16.637
9600 -6488.97 288.804 -66.0475
9700 -6482.05 296.919 99.04
9800 -6446.52 300.795 -9.2747
9900 -6445.98 301.62 -13.9451
10000 -6458.81 294.313 20.6424
10100 -6462.45 300.717 14.1825
10200 -6464.79 294.084 86.4192
10300 -6454.68 298.915 -137.422
10400 -6436.77 300.612 57.1161
10500 -6458.47 299.507 -9.27281
10600 -6463.85 287.86 22.2577
10700 -6429.24 304.615 22.0647
10800 -6419.58 299.295 -55.1536
10900 -6455.29 301.871 97.5937
11000 -6469.43 291.039 -105.338
11100 -6465.58 298.538 70.1413
11200 -6473.27 306.4 -46.187
11300 -6486.19 287.286 32.9799
11400 -6464.16 297.183 -68.8555
11500 -6435.76 309.838 82.7094
11600 -6473.56 295.798 22.5617
11700 -6487.83 285.579 46.2332
11800 -6452.5 303.535 -12.0006
11900 -6432.62 302.814 -98.6582
12000 -6456.94 296.083 25.8092
12100 -6473.04 292.223 31.5183
