# Time-averaged data for fix thermoAveOut
# TimeStep c_thermo_pe c_thermo_temp c_thermo_press
100 -2666.42 298.213 -4.15837
200 -2673.2 300.871 -31.3822
300 -2698.26 298.848 55.735
400 -2720.33 287.797 -136.978
500 -2727.65 311.64 234.276
600 -2740.47 288.903 -105.455
700 -2739.01 291.67 65.9489
800 -2714.11 311.178 -41.9232
900 -2725.67 301.514 35.8416
1000 -2743.44 280.041 69.1557
1100 -2736.99 310.254 -90.9431
1200 -2732.91 300.215 87.8862
1300 -2747.53 292.85 21.4631
1400 -2742.38 290.036 -88.2904
1500 -2718.84 309.27 105.352
1600 -2733.74 303.944 3.85394
1700 -2755.74 281.404 -6.93884
1800 -2735.36 304.384 -136.418
1900 -2735.54 313.147 203.324
2000 -2758.64 280.132 -116.397
2100 -2749.15 294.15 -11.6193
2200 -2743.39 315.78 21.8689
2300 -2762.35 286.194 108.289
2400 -2749.53 283.415 -51.8024
2500 -2722.57 325.716 -106.894
2600 -2739.72 293.112 253.127
2700 -2765 286.043 -233.455
2800 -2750.14 297.408 165.027
2900 -2738.81 310.163 -71.7067
3000 -2755.34 292.593 91.5328
3100 -2756.5 290.124 -38.7505
3200 -2745.3 307.268 -1.39867
3300 -2747.82 295.771 -7.40799
3400 -2758.06 298.921 -146.765
3500 -2749.84 292.432 366.982
3600 -2738.55 303.538 -293.522
3700 -2754.5 305.072 122.675
3800 -2763.1 277.74 -74.8402
3900 -2750.88 310.274 178.198
4000 -2738.64 302.192 -194.305
4100 -2751.36 300.707 125.626
4200 -2761.92 285.038 -57.7985
4300 -2755.03 299.69 89.1725
4400 -2749.43 305.047 -118.967
4500 -2756.4 296.662 34.6349
4600 -2752.76 297.386 23.3688
4700 -2740.64 297.219 95.8495
4800 -2743.36 295.666 -128.356
4900 -2744.43 300.595 17.6762
5000 -2736.33 294.905 152.612
